Name: Hemi Street, Instruction: Head north on Hemi Street, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn slight left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn slight left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight right, Distance: 155.5 meters, Time: 111.9 seconds
Name: -, Instruction: Turn left, Distance: 119.7 meters, Time: 86.2 seconds
Name: -, Instruction: Turn slight right, Distance: 299.8 meters, Time: 215.9 seconds
Name: -, Instruction: Turn slight left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: Lake Road Shared Path, Instruction: Turn slight right onto Lake Road Shared Path, Distance: 4.4 meters, Time: 3.2 seconds
Name: Lake Road Shared Path, Instruction: Turn slight left onto Lake Road Shared Path, Distance: 173.8 meters, Time: 125.1 seconds
Name: -, Instruction: Turn right, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Turn slight right, Distance: 221.2 meters, Time: 159.3 seconds
Name: -, Instruction: Keep left, Distance: 98.7 meters, Time: 71.0 seconds
Name: -, Instruction: Keep right, Distance: 144.9 meters, Time: 104.3 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Keep right, Distance: 272.1 meters, Time: 195.9 seconds
Name: -, Instruction: Keep left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 117.5 meters, Time: 84.6 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
