Name: Evergreen Avenue, Instruction: Head north on Evergreen Avenue, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 353.3 meters, Time: 254.4 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 710.4 meters, Time: 511.5 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 126.6 meters, Time: 91.1 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: Kew Avenue, Instruction: Turn right onto Kew Avenue, Distance: 168.2 meters, Time: 121.1 seconds
Name: Kew Lane, Instruction: Turn left onto Kew Lane, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
