Name: Avenida Zacatépetl, Instruction: Head north on Avenida Zacatépetl, Distance: 321.4 meters, Time: 231.4 seconds
Name: -, Instruction: Keep left, Distance: 218.6 meters, Time: 157.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn slight left, Distance: 38.0 meters, Time: 27.4 seconds
Name: Calle Llanura, Instruction: Turn right onto Calle Llanura, Distance: 39.9 meters, Time: 28.7 seconds
Name: Boulevard Cataratas, Instruction: Turn left onto Boulevard Cataratas, Distance: 289.6 meters, Time: 208.5 seconds
Name: Camino a Santa Teresa, Instruction: Turn right onto Camino a Santa Teresa, Distance: 231.0 meters, Time: 166.3 seconds
Name: Avenida Paseo del Pedregal, Instruction: Turn left onto Avenida Paseo del Pedregal, Distance: 207.9 meters, Time: 149.7 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
