Name: Southlawn Circle, Instruction: Head east on Southlawn Circle, Distance: 147.7 meters, Time: 106.3 seconds
Name: Southlawn Parkway, Instruction: Turn left onto Southlawn Parkway, Distance: 511.2 meters, Time: 368.1 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 65.6 meters, Time: 47.2 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Yampa Court, Instruction: Turn left onto Yampa Court, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: East 101st Place, Instruction: Turn right onto East 101st Place, Distance: 129.1 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
