Name: Winery Way, Instruction: Head southeast on Winery Way, Distance: 7.5 meters, Time: 5.4 seconds
Name: Mount Lebanon Lane, Instruction: Turn left onto Mount Lebanon Lane, Distance: 136.3 meters, Time: 98.2 seconds
Name: -, Instruction: Turn right, Distance: 164.9 meters, Time: 118.7 seconds
Name: Buscomb Avenue, Instruction: Keep right onto Buscomb Avenue, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn slight right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
