Name: Goldmarkstraße, Instruction: Head west on Goldmarkstraße, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: Reicherstorfferweg, Instruction: Turn left onto Reicherstorfferweg, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: Röblingweg, Instruction: Turn left onto Röblingweg, Distance: 174.4 meters, Time: 125.6 seconds
Name: -, Instruction: Continue straight, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 74.2 meters, Time: 53.4 seconds
Name: Hugo-Wolf-Straße, Instruction: Turn right onto Hugo-Wolf-Straße, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 347.9 meters, Time: 250.4 seconds
Name: -, Instruction: Turn slight left, Distance: 194.2 meters, Time: 139.8 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Freudstraße, Instruction: Turn left onto Freudstraße, Distance: 405.6 meters, Time: 292.0 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
