Name: Cinnamon Mews, Instruction: Head south on Cinnamon Mews, Distance: 42.3 meters, Time: 30.4 seconds
Name: Stonard Road, Instruction: Turn left onto Stonard Road, Distance: 41.3 meters, Time: 29.7 seconds
Name: Avondale Road, Instruction: Turn left onto Avondale Road, Distance: 109.8 meters, Time: 79.1 seconds
Name: Meadowcroft Road, Instruction: Turn right onto Meadowcroft Road, Distance: 230.1 meters, Time: 165.6 seconds
Name: Green Lanes, Instruction: Turn left onto Green Lanes, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Continue straight, Distance: 26.4 meters, Time: 19.0 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Continue straight, Distance: 14.9 meters, Time: 10.7 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 69.1 meters, Time: 49.8 seconds
Name: -, Instruction: Continue straight, Distance: 23.7 meters, Time: 17.1 seconds
Name: Green Lanes, Instruction: Continue straight onto Green Lanes, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Barrowell Green, Instruction: Turn right onto Barrowell Green, Distance: 503.5 meters, Time: 362.6 seconds
Name: Ash Grove, Instruction: Turn right onto Ash Grove, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 99.9 meters, Time: 71.9 seconds
Name: The Larches, Instruction: Turn right onto The Larches, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn left, Distance: 88.4 meters, Time: 63.6 seconds
Name: Firs Lane, Instruction: Turn right onto Firs Lane, Distance: 42.6 meters, Time: 30.6 seconds
Name: The Fairway, Instruction: Turn left onto The Fairway, Distance: 249.3 meters, Time: 179.5 seconds
Name: Myrtle Road, Instruction: Turn right onto Myrtle Road, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Arrive at Myrtle Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
