Name: Sabana Place, Instruction: Head north on Sabana Place, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Keep right, Distance: 51.2 meters, Time: 36.9 seconds
Name: SH-18 Cycleway, Instruction: Turn right onto SH-18 Cycleway, Distance: 262.9 meters, Time: 189.3 seconds
Name: -, Instruction: Turn right, Distance: 50.6 meters, Time: 36.4 seconds
Name: Northern Pathway, Instruction: Turn right onto Northern Pathway, Distance: 29.5 meters, Time: 21.2 seconds
Name: Northern Pathway, Instruction: Turn left onto Northern Pathway, Distance: 137.6 meters, Time: 99.0 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 133.3 meters, Time: 96.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 354.6 meters, Time: 255.3 seconds
Name: -, Instruction: Keep right, Distance: 76.2 meters, Time: 54.8 seconds
Name: -, Instruction: Turn right, Distance: 74.5 meters, Time: 53.7 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: Sunset Road, Instruction: Turn left onto Sunset Road, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 141.7 meters, Time: 102.0 seconds
Name: -, Instruction: Turn right, Distance: 110.6 meters, Time: 79.6 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
