Name: Rue de Bagnolet, Instruction: Head northeast on Rue de Bagnolet, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 170.1 meters, Time: 122.5 seconds
Name: -, Instruction: Keep left, Distance: 114.1 meters, Time: 82.1 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: Rue des Prairies, Instruction: Continue straight onto Rue des Prairies, Distance: 6.6 meters, Time: 4.7 seconds
Name: Rue des Prairies, Instruction: Turn slight left onto Rue des Prairies, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Keep left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue de l'Indre, Instruction: Turn right onto Rue de l'Indre, Distance: 100.6 meters, Time: 72.4 seconds
Name: Rue Pelleport, Instruction: Turn left onto Rue Pelleport, Distance: 15.6 meters, Time: 11.2 seconds
Name: Rue Pelleport, Instruction: Keep right onto Rue Pelleport, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Keep left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: Rue du Capitaine Ferber, Instruction: Turn right onto Rue du Capitaine Ferber, Distance: 228.5 meters, Time: 164.5 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 5.5 meters, Time: 3.9 seconds
Name: Rue du Capitaine Marchal, Instruction: Turn left onto Rue du Capitaine Marchal, Distance: 18.8 meters, Time: 13.6 seconds
Name: Rue Étienne Marey, Instruction: Continue straight onto Rue Étienne Marey, Distance: 291.9 meters, Time: 210.1 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: Rue du Surmelin, Instruction: Turn right onto Rue du Surmelin, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Arrive at Rue du Surmelin, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
