Name: Serangoon North Avenue 2, Instruction: Head east on Serangoon North Avenue 2, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 139.1 meters, Time: 100.2 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Yio Chu Kang Road, Instruction: Turn right onto Yio Chu Kang Road, Distance: 76.5 meters, Time: 55.1 seconds
Name: Poh Huat Road West, Instruction: Turn sharp left onto Poh Huat Road West, Distance: 54.4 meters, Time: 39.2 seconds
Name: Poh Huat Road West, Instruction: Turn slight left onto Poh Huat Road West, Distance: 512.4 meters, Time: 368.9 seconds
Name: Poh Huat Drive, Instruction: Turn right onto Poh Huat Drive, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 314.6 meters, Time: 226.5 seconds
Name: -, Instruction: Turn right, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Simon Place, Instruction: Turn right onto Simon Place, Distance: 315.3 meters, Time: 227.0 seconds
Name: Simon Lane, Instruction: Turn right onto Simon Lane, Distance: 37.8 meters, Time: 27.2 seconds
Name: Simon Road, Instruction: Turn left onto Simon Road, Distance: 110.5 meters, Time: 79.6 seconds
Name: Simon Walk, Instruction: Turn right onto Simon Walk, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Kovan Road, Instruction: Turn right onto Kovan Road, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Arrive at Kovan Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
