Name: Pringle Road, Instruction: Head northwest on Pringle Road, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: Hereford Street, Instruction: Turn left onto Hereford Street, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Keep right, Distance: 162.1 meters, Time: 116.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
