Name: Joseph-Dollinger-Bogen, Instruction: Head northeast on Joseph-Dollinger-Bogen, Distance: 151.5 meters, Time: 109.1 seconds
Name: Frankfurter Ring, Instruction: Turn right onto Frankfurter Ring, Distance: 367.6 meters, Time: 264.7 seconds
Name: Frankfurter Ring, Instruction: Continue straight onto Frankfurter Ring, Distance: 86.6 meters, Time: 62.4 seconds
Name: -, Instruction: Keep right, Distance: 15.5 meters, Time: 11.2 seconds
Name: Ungererstraße, Instruction: Turn slight right onto Ungererstraße, Distance: 126.7 meters, Time: 91.2 seconds
Name: Ungererstraße, Instruction: Continue straight onto Ungererstraße, Distance: 203.4 meters, Time: 146.4 seconds
Name: -, Instruction: Turn left, Distance: 190.2 meters, Time: 137.0 seconds
Name: Rohmederstraße, Instruction: Turn right onto Rohmederstraße, Distance: 299.8 meters, Time: 215.9 seconds
Name: -, Instruction: Continue straight, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Keep left, Distance: 212.6 meters, Time: 153.1 seconds
Name: -, Instruction: Turn slight left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Keep right, Distance: 121.0 meters, Time: 87.1 seconds
Name: Werneckweg, Instruction: Turn sharp left onto Werneckweg, Distance: 0.2 meters, Time: 0.1 seconds
Name: Zistlerweg, Instruction: Turn sharp right onto Zistlerweg, Distance: 40.3 meters, Time: 29.0 seconds
Name: Zistlerweg, Instruction: Keep right onto Zistlerweg, Distance: 171.1 meters, Time: 123.2 seconds
Name: -, Instruction: Turn slight right, Distance: 75.5 meters, Time: 54.4 seconds
Name: Friedrich-Ludwig-von-Sckell-Straße, Instruction: Keep right onto Friedrich-Ludwig-von-Sckell-Straße, Distance: 250.1 meters, Time: 180.1 seconds
Name: -, Instruction: Arrive at Friedrich-Ludwig-von-Sckell-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
