Name: Follis Avenue, Instruction: Head east on Follis Avenue, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn right, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn left, Distance: 223.7 meters, Time: 161.1 seconds
Name: Howland Avenue, Instruction: Turn right onto Howland Avenue, Distance: 4.0 meters, Time: 2.8 seconds
Name: Barton Avenue, Instruction: Turn left onto Barton Avenue, Distance: 98.5 meters, Time: 70.9 seconds
Name: Brunswick Avenue, Instruction: Turn right onto Brunswick Avenue, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 6.5 meters, Time: 4.7 seconds
Name: Lowther Avenue, Instruction: Turn left onto Lowther Avenue, Distance: 146.1 meters, Time: 105.2 seconds
Name: -, Instruction: Turn right, Distance: 122.7 meters, Time: 88.3 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 114.4 meters, Time: 82.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 105.5 meters, Time: 76.0 seconds
Name: -, Instruction: Turn right, Distance: 230.7 meters, Time: 166.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
