Name: Teesdale Place, Instruction: Head east on Teesdale Place, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight left, Distance: 153.1 meters, Time: 110.2 seconds
Name: Albion Avenue, Instruction: Turn right onto Albion Avenue, Distance: 224.9 meters, Time: 161.9 seconds
Name: -, Instruction: Turn left, Distance: 145.9 meters, Time: 105.0 seconds
Name: Denton Avenue, Instruction: Turn right onto Denton Avenue, Distance: 29.6 meters, Time: 21.3 seconds
Name: Macey Avenue, Instruction: Turn left onto Macey Avenue, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 138.2 meters, Time: 99.5 seconds
Name: -, Instruction: Turn left, Distance: 188.0 meters, Time: 135.4 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 482.5 meters, Time: 347.4 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Keep right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 221.8 meters, Time: 159.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Swanwick Avenue, Instruction: Turn right onto Swanwick Avenue, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Scarborough Road, Instruction: Turn left onto Scarborough Road, Distance: 469.5 meters, Time: 338.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
