Name: Atlas Avenue, Instruction: Head south on Atlas Avenue, Distance: 786.9 meters, Time: 566.6 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 139.7 meters, Time: 100.6 seconds
Name: -, Instruction: Keep right, Distance: 153.1 meters, Time: 110.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 172.6 meters, Time: 124.3 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Keep left, Distance: 198.0 meters, Time: 142.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 134.8 meters, Time: 97.0 seconds
Name: -, Instruction: Keep left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn left, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn slight right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn slight right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 45.2 meters, Time: 32.6 seconds
Name: Victor Jara Lane, Instruction: Turn left onto Victor Jara Lane, Distance: 5.2 meters, Time: 3.7 seconds
Name: Shaw Street, Instruction: Turn right onto Shaw Street, Distance: 99.0 meters, Time: 71.3 seconds
Name: Larry Priestman Lane, Instruction: Turn left onto Larry Priestman Lane, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 346.8 meters, Time: 249.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
