Name: Avenida Brigadeiro Trompowski, Instruction: Head west on Avenida Brigadeiro Trompowski, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 158.2 meters, Time: 113.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 27.9 meters, Time: 20.1 seconds
Name: Rua Santo Abelardo, Instruction: Turn sharp left onto Rua Santo Abelardo, Distance: 244.7 meters, Time: 176.2 seconds
Name: -, Instruction: Turn right, Distance: 415.2 meters, Time: 298.9 seconds
Name: Avenida Almirante Frontin, Instruction: Turn left onto Avenida Almirante Frontin, Distance: 108.0 meters, Time: 77.8 seconds
Name: Rua Doutor Oswaldo Serra Macedo, Instruction: Turn right onto Rua Doutor Oswaldo Serra Macedo, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Turn right, Distance: 79.7 meters, Time: 57.4 seconds
Name: Rua Ouricuri, Instruction: Turn right onto Rua Ouricuri, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.6 meters, Time: 15.5 seconds
Name: Travessa Santo Antônio, Instruction: Turn left onto Travessa Santo Antônio, Distance: 215.8 meters, Time: 155.3 seconds
Name: Rua Gerson Ferreira, Instruction: Turn right onto Rua Gerson Ferreira, Distance: 24.1 meters, Time: 17.3 seconds
Name: Avenida Guanabara, Instruction: Turn sharp left onto Avenida Guanabara, Distance: 423.4 meters, Time: 304.9 seconds
Name: -, Instruction: Continue straight, Distance: 35.2 meters, Time: 25.4 seconds
Name: Avenida Guanabara, Instruction: Continue straight onto Avenida Guanabara, Distance: 75.2 meters, Time: 54.2 seconds
Name: -, Instruction: Continue straight, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
