Name: Decatur Street, Instruction: Head south on Decatur Street, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn right, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.3 seconds
Name: West Ellsworth Avenue, Instruction: Turn right onto West Ellsworth Avenue, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 173.5 meters, Time: 124.9 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: West Bayaud Avenue, Instruction: Turn right onto West Bayaud Avenue, Distance: 140.6 meters, Time: 101.3 seconds
Name: -, Instruction: Turn left, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 240.9 meters, Time: 173.4 seconds
Name: -, Instruction: Turn slight right, Distance: 86.5 meters, Time: 62.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
