Name: Ellington Square, Instruction: Head southwest on Ellington Square, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 204.4 meters, Time: 147.2 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Keep left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Keep right, Distance: 131.6 meters, Time: 94.8 seconds
Name: -, Instruction: Keep left, Distance: 113.7 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: Ang Mo Kio Street 22, Instruction: Turn right onto Ang Mo Kio Street 22, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 215.2 meters, Time: 154.9 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 71.9 meters, Time: 51.7 seconds
Name: -, Instruction: Turn left, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
