Name: Bleecker Street, Instruction: Head south on Bleecker Street, Distance: 322.2 meters, Time: 232.0 seconds
Name: -, Instruction: Turn right, Distance: 84.9 meters, Time: 61.2 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn slight left, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 121.3 meters, Time: 87.3 seconds
Name: Horticultural Avenue, Instruction: Turn left onto Horticultural Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: Gerrard Street East, Instruction: Turn right onto Gerrard Street East, Distance: 11.3 meters, Time: 8.2 seconds
Name: George Street, Instruction: Turn left onto George Street, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 74.7 meters, Time: 53.8 seconds
Name: -, Instruction: Turn left, Distance: 759.7 meters, Time: 547.0 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 128.6 meters, Time: 92.6 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Keep right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep right, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn slight right, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 205.0 meters, Time: 147.6 seconds
Name: Victoria Street, Instruction: Turn left onto Victoria Street, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
