Name: Rue Georges Duhamel, Instruction: Head southwest on Rue Georges Duhamel, Distance: 265.9 meters, Time: 191.5 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 526.8 meters, Time: 379.3 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 62.7 meters, Time: 45.2 seconds
Name: -, Instruction: Turn right, Distance: 103.0 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Keep right, Distance: 40.9 meters, Time: 29.5 seconds
Name: Rue Julia Bartet, Instruction: Continue straight onto Rue Julia Bartet, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Keep right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: Boulevard Charles de Gaulle, D 83, Instruction: Turn right onto Boulevard Charles de Gaulle, D 83, Distance: 165.7 meters, Time: 119.3 seconds
Name: Rue Scelle, Instruction: Turn left onto Rue Scelle, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 164.4 meters, Time: 118.3 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 137.5 meters, Time: 99.0 seconds
Name: La Coulée Verte, Instruction: Turn slight left onto La Coulée Verte, Distance: 308.2 meters, Time: 221.9 seconds
Name: Boulevard Gabriel Péri, D 50, Instruction: Turn left onto Boulevard Gabriel Péri, D 50, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: Rue Léon Salagnac, Instruction: Turn right onto Rue Léon Salagnac, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at Rue Léon Salagnac, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
