Name: Rue Rabelais, Instruction: Head northwest on Rue Rabelais, Distance: 43.5 meters, Time: 31.4 seconds
Name: Rue Voltaire, Instruction: Turn right onto Rue Voltaire, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn slight right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn left, Distance: 92.1 meters, Time: 66.3 seconds
Name: Rue de l'Abbé Guibert, Instruction: Turn left onto Rue de l'Abbé Guibert, Distance: 48.7 meters, Time: 35.1 seconds
Name: Rue des Pavillons, Instruction: Turn slight right onto Rue des Pavillons, Distance: 32.9 meters, Time: 23.7 seconds
Name: Rue Rousselle, Instruction: Turn left onto Rue Rousselle, Distance: 324.4 meters, Time: 233.6 seconds
Name: Rue Rousselle, Instruction: Continue straight onto Rue Rousselle, Distance: 80.3 meters, Time: 57.8 seconds
Name: Rue de la République, D 4, Instruction: Turn right onto Rue de la République, D 4, Distance: 25.4 meters, Time: 18.3 seconds
Name: Rue Édouard Vaillant, Instruction: Turn left onto Rue Édouard Vaillant, Distance: 99.6 meters, Time: 71.7 seconds
Name: Cours du Maréchal Leclerc, Instruction: Keep left onto Cours du Maréchal Leclerc, Distance: 2.4 meters, Time: 1.7 seconds
Name: Cours du Maréchal Leclerc, Instruction: Continue straight onto Cours du Maréchal Leclerc, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight right, Distance: 56.7 meters, Time: 40.8 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Place du Sud, Instruction: Turn right onto Place du Sud, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 74.6 meters, Time: 53.7 seconds
Name: Axe de La Défense, Instruction: Turn left onto Axe de La Défense, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 117.3 meters, Time: 84.4 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 33.2 meters, Time: 23.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
