Name: Plettstraße, Instruction: Head south on Plettstraße, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 91.7 meters, Time: 66.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Keep right, Distance: 163.5 meters, Time: 117.7 seconds
Name: Sarah-Sonja-Lerch-Weg, Instruction: Continue straight onto Sarah-Sonja-Lerch-Weg, Distance: 108.0 meters, Time: 77.8 seconds
Name: Sarah-Sonja-Lerch-Weg, Instruction: Continue straight onto Sarah-Sonja-Lerch-Weg, Distance: 256.3 meters, Time: 184.5 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight right, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.5 seconds
Name: Max-Kolmsperger-Straße, Instruction: Continue straight onto Max-Kolmsperger-Straße, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
