Name: Rue Jouffroy d'Abbans, Instruction: Head southwest on Rue Jouffroy d'Abbans, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 76.5 meters, Time: 55.1 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 99.1 meters, Time: 71.3 seconds
Name: -, Instruction: Keep right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 181.3 meters, Time: 130.6 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Turn slight right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 172.1 meters, Time: 123.9 seconds
Name: -, Instruction: Turn slight right, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 50.5 meters, Time: 36.4 seconds
Name: -, Instruction: Keep right, Distance: 122.2 meters, Time: 88.0 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Keep right, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
