Name: Rue Dautancourt, Instruction: Head southwest on Rue Dautancourt, Distance: 34.5 meters, Time: 24.9 seconds
Name: -, Instruction: Turn right, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 149.2 meters, Time: 107.4 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn slight left, Distance: 1.3 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight right, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 51.2 meters, Time: 36.8 seconds
Name: -, Instruction: Turn slight right, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue Legendre, Instruction: Turn left onto Rue Legendre, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
