Name: Callisto Drive, Instruction: Head southwest on Callisto Drive, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: Martha Crescent, Instruction: Turn right onto Martha Crescent, Distance: 156.7 meters, Time: 112.8 seconds
Name: Witcom Street, Instruction: Turn left onto Witcom Street, Distance: 79.8 meters, Time: 57.5 seconds
Name: Islington Street, Instruction: Turn right onto Islington Street, Distance: 142.0 meters, Time: 102.3 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: Laycock Street, Instruction: Turn right onto Laycock Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.7 seconds
Name: Fireball Avenue, Instruction: Turn left onto Fireball Avenue, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
