Name: Main Street West, Instruction: Head southwest on Main Street West, Distance: 142.9 meters, Time: 102.9 seconds
Name: Main Street South, Instruction: Enter the roundabout and take the 1st exit onto Main Street South, Distance: 153.0 meters, Time: 110.1 seconds
Name: East 47th Avenue, Instruction: Turn left onto East 47th Avenue, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: Willow Street, Instruction: Turn left onto Willow Street, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 166.1 meters, Time: 119.6 seconds
Name: Xenia Street, Instruction: Turn right onto Xenia Street, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: Yosemite Street, Instruction: Turn right onto Yosemite Street, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
