Name: Karl-Breu-Weg, Instruction: Head southeast on Karl-Breu-Weg, Distance: 60.3 meters, Time: 43.4 seconds
Name: Leschkircher Straße, Instruction: Turn right onto Leschkircher Straße, Distance: 141.7 meters, Time: 102.0 seconds
Name: Xaver-Weismor-Straße, Instruction: Turn right onto Xaver-Weismor-Straße, Distance: 209.4 meters, Time: 150.8 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn slight left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn slight right, Distance: 60.9 meters, Time: 43.9 seconds
Name: Xaver-Weismor-Straße, Instruction: Turn right onto Xaver-Weismor-Straße, Distance: 5.2 meters, Time: 3.7 seconds
Name: Thomas-Hauser-Straße, Instruction: Turn left onto Thomas-Hauser-Straße, Distance: 228.4 meters, Time: 164.5 seconds
Name: -, Instruction: Turn left, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
