Name: Hereford Street, Instruction: Head west on Hereford Street, Distance: 285.4 meters, Time: 205.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 63.6 meters, Time: 45.8 seconds
Name: -, Instruction: Keep right, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Te Atatū Road, Instruction: Turn right onto Te Atatū Road, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 812.1 meters, Time: 584.7 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: Abbotleigh Avenue, Instruction: Turn right onto Abbotleigh Avenue, Distance: 396.1 meters, Time: 285.1 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Keep right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 99.7 meters, Time: 71.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
