Name: Mathilde-Boyen-Straße, Instruction: Head east on Mathilde-Boyen-Straße, Distance: 18.6 meters, Time: 13.4 seconds
Name: Grusonstraße, Instruction: Turn left onto Grusonstraße, Distance: 33.7 meters, Time: 24.3 seconds
Name: Schwarzanger, Instruction: Turn right onto Schwarzanger, Distance: 349.8 meters, Time: 251.8 seconds
Name: Werner-Egk-Bogen, Instruction: Turn left onto Werner-Egk-Bogen, Distance: 241.3 meters, Time: 173.8 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: Werner-Egk-Bogen, Instruction: Turn left onto Werner-Egk-Bogen, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 138.4 meters, Time: 99.7 seconds
Name: -, Instruction: Keep right, Distance: 146.1 meters, Time: 105.2 seconds
Name: -, Instruction: Continue straight, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn slight right, Distance: 46.5 meters, Time: 33.4 seconds
Name: -, Instruction: Keep right, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.2 seconds
Name: Carl-Orff-Bogen, Instruction: Turn slight left onto Carl-Orff-Bogen, Distance: 45.8 meters, Time: 33.0 seconds
Name: Karl-Amadeus-Hartmann-Weg, Instruction: Turn right onto Karl-Amadeus-Hartmann-Weg, Distance: 8.7 meters, Time: 6.3 seconds
Name: Carl-Orff-Bogen, Instruction: Turn left onto Carl-Orff-Bogen, Distance: 415.9 meters, Time: 299.5 seconds
Name: -, Instruction: Keep right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn left, Distance: 92.1 meters, Time: 66.3 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Kaisermantelstraße, Instruction: Turn left onto Kaisermantelstraße, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 63.2 meters, Time: 45.5 seconds
Name: Admiralbogen, Instruction: Turn right onto Admiralbogen, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Keep left, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Keep right, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
