Name: Stonecrop Street, Instruction: Head south on Stonecrop Street, Distance: 222.0 meters, Time: 159.8 seconds
Name: Diamondback Parade, Instruction: Turn left onto Diamondback Parade, Distance: 769.9 meters, Time: 554.3 seconds
Name: Emu Parade, Instruction: Turn right onto Emu Parade, Distance: 74.5 meters, Time: 53.6 seconds
Name: Abell Road, Instruction: Turn sharp left onto Abell Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn left, Distance: 668.8 meters, Time: 481.5 seconds
Name: -, Instruction: Keep right, Distance: 221.3 meters, Time: 159.3 seconds
Name: Kaluta Avenue, Instruction: Turn right onto Kaluta Avenue, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
