Name: Westbury Road, Instruction: Head north on Westbury Road, Distance: 95.0 meters, Time: 68.4 seconds
Name: Silwood Road, Instruction: Turn left onto Silwood Road, Distance: 153.4 meters, Time: 110.5 seconds
Name: Barkley Road, Instruction: Turn right onto Barkley Road, Distance: 80.4 meters, Time: 57.9 seconds
Name: Bonair Road, Instruction: Turn left onto Bonair Road, Distance: 109.4 meters, Time: 78.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 685.9 meters, Time: 493.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Campground Road, Instruction: Turn sharp right onto Campground Road, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: Campground Road, Instruction: Turn right onto Campground Road, Distance: 13.9 meters, Time: 10.0 seconds
Name: Campground Road, Instruction: Enter the roundabout and take the 2nd exit onto Campground Road, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Arrive at Campground Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
