Name: Allée de l'Île des Pins, Instruction: Head west on Allée de l'Île des Pins, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: Boulevard Marguerite de Rochechouart, Instruction: Turn right onto Boulevard Marguerite de Rochechouart, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 190.2 meters, Time: 136.9 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Turgot, Instruction: Turn right onto Rue Turgot, Distance: 46.8 meters, Time: 33.7 seconds
Name: Rue Turgot, Instruction: Continue straight onto Rue Turgot, Distance: 3.0 meters, Time: 2.2 seconds
Name: Rue Turgot, Instruction: Continue straight onto Rue Turgot, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue Marguerite de Rochechouart, Instruction: Turn right onto Rue Marguerite de Rochechouart, Distance: 78.7 meters, Time: 56.6 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight left, Distance: 121.3 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: Rue Pierre Semard, Instruction: Turn right onto Rue Pierre Semard, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Arrive at Rue Pierre Semard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
