Name: Cottage Point Road, Instruction: Head south on Cottage Point Road, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 185.7 meters, Time: 133.7 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn slight left, Distance: 257.2 meters, Time: 185.2 seconds
Name: -, Instruction: Turn slight left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Turn right, Distance: 370.4 meters, Time: 266.7 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 178.5 meters, Time: 128.5 seconds
Name: -, Instruction: Turn right, Distance: 277.4 meters, Time: 199.8 seconds
Name: Brown Place, Instruction: Turn right onto Brown Place, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Arrive at Brown Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
