Name: Fir Road, Instruction: Head southwest on Fir Road, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 418.2 meters, Time: 301.1 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Keep right, Distance: 568.1 meters, Time: 409.0 seconds
Name: -, Instruction: Continue straight, Distance: 295.5 meters, Time: 212.8 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: Dixton Road, Instruction: Turn right onto Dixton Road, Distance: 82.0 meters, Time: 59.0 seconds
Name: Malleson Road, Instruction: Turn left onto Malleson Road, Distance: 187.9 meters, Time: 135.3 seconds
Name: Inniskillen Road, Instruction: Turn right onto Inniskillen Road, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Continue straight, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 133.1 meters, Time: 95.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Continue straight, Distance: 65.8 meters, Time: 47.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
