Name: Dachauer Straße, Instruction: Head west on Dachauer Straße, Distance: 183.9 meters, Time: 132.4 seconds
Name: Krautgartenstraße, Instruction: Turn left onto Krautgartenstraße, Distance: 484.6 meters, Time: 348.9 seconds
Name: Graßlfinger Straße, Instruction: Turn slight left onto Graßlfinger Straße, Distance: 969.3 meters, Time: 697.9 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Keep right, Distance: 66.5 meters, Time: 47.9 seconds
Name: -, Instruction: Keep right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Keep left, Distance: 349.4 meters, Time: 251.5 seconds
Name: -, Instruction: Keep right, Distance: 418.0 meters, Time: 301.0 seconds
Name: -, Instruction: Turn right, Distance: 264.5 meters, Time: 190.4 seconds
Name: Feldgedinger Straße, Instruction: Turn right onto Feldgedinger Straße, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
