Name: Nürnberger Straße, Instruction: Head south on Nürnberger Straße, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 79.9 meters, Time: 57.6 seconds
Name: Taxisstraße, Instruction: Turn left onto Taxisstraße, Distance: 537.6 meters, Time: 387.0 seconds
Name: -, Instruction: Continue straight, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 86.1 meters, Time: 62.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Dom-Pedro-Platz, Instruction: Turn right onto Dom-Pedro-Platz, Distance: 13.1 meters, Time: 9.5 seconds
Name: Dom-Pedro-Platz, Instruction: Turn left onto Dom-Pedro-Platz, Distance: 145.5 meters, Time: 104.8 seconds
Name: Orffstraße, Instruction: Turn right onto Orffstraße, Distance: 219.9 meters, Time: 158.3 seconds
Name: Ruffinistraße, Instruction: Turn right onto Ruffinistraße, Distance: 5.6 meters, Time: 4.0 seconds
Name: Orffstraße, Instruction: Turn left onto Orffstraße, Distance: 89.4 meters, Time: 64.4 seconds
Name: Mayrfelsstraße, Instruction: Turn left onto Mayrfelsstraße, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 125.7 meters, Time: 90.5 seconds
Name: -, Instruction: Turn left, Distance: 39.2 meters, Time: 28.3 seconds
Name: -, Instruction: Keep right, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.6 seconds
Name: Albrechtstraße, Instruction: Turn right onto Albrechtstraße, Distance: 163.8 meters, Time: 117.9 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 286.6 meters, Time: 206.3 seconds
Name: Kapschstraße, Instruction: Turn left onto Kapschstraße, Distance: 134.2 meters, Time: 96.6 seconds
Name: -, Instruction: Arrive at Kapschstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
