Name: Old Primrose Lane, Instruction: Head west on Old Primrose Lane, Distance: 38.9 meters, Time: 28.0 seconds
Name: Old Brewery Lane, Instruction: Turn left onto Old Brewery Lane, Distance: 79.2 meters, Time: 57.0 seconds
Name: Old Brewery Lane, Instruction: Turn right onto Old Brewery Lane, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight right, Distance: 39.8 meters, Time: 28.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 279.8 meters, Time: 201.5 seconds
Name: -, Instruction: Turn left, Distance: 426.3 meters, Time: 306.9 seconds
Name: -, Instruction: Turn left, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn slight right, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Keep right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Keep left, Distance: 241.2 meters, Time: 173.7 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
