Name: Wageneggerstraße, Instruction: Head north on Wageneggerstraße, Distance: 110.0 meters, Time: 79.2 seconds
Name: Rosenheimer Straße, Instruction: Turn left onto Rosenheimer Straße, Distance: 189.6 meters, Time: 136.5 seconds
Name: Rosenheimer Straße, Instruction: Turn right onto Rosenheimer Straße, Distance: 33.8 meters, Time: 24.4 seconds
Name: Claudius-Keller-Straße, Instruction: Turn right onto Claudius-Keller-Straße, Distance: 6.8 meters, Time: 4.9 seconds
Name: Rosenheimer Straße, Instruction: Turn left onto Rosenheimer Straße, Distance: 107.0 meters, Time: 77.1 seconds
Name: Rosenheimer Straße, Instruction: Continue straight onto Rosenheimer Straße, Distance: 268.3 meters, Time: 193.2 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: Rosenheimer Straße, Instruction: Turn sharp right onto Rosenheimer Straße, Distance: 659.2 meters, Time: 474.6 seconds
Name: -, Instruction: Keep left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 225.6 meters, Time: 162.4 seconds
Name: -, Instruction: Keep right, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 278.1 meters, Time: 200.2 seconds
Name: -, Instruction: Turn right, Distance: 47.1 meters, Time: 33.9 seconds
Name: Rosenheimer Platz, Instruction: Keep left onto Rosenheimer Platz, Distance: 24.4 meters, Time: 17.5 seconds
Name: Rosenheimer Platz, Instruction: Turn left onto Rosenheimer Platz, Distance: 258.1 meters, Time: 185.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
