Name: Calle Paseo de los Nogales, Instruction: Head west on Calle Paseo de los Nogales, Distance: 64.0 meters, Time: 46.1 seconds
Name: Avenida Paseo de los Jardines, Instruction: Turn left onto Avenida Paseo de los Jardines, Distance: 138.7 meters, Time: 99.9 seconds
Name: Avenida Paseo de los Jardines, Instruction: Continue straight onto Avenida Paseo de los Jardines, Distance: 238.4 meters, Time: 171.6 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: Paseo de los Abetos, Instruction: Turn left onto Paseo de los Abetos, Distance: 68.0 meters, Time: 48.9 seconds
Name: Calle Paseo Cedros, Instruction: Turn left onto Calle Paseo Cedros, Distance: 240.7 meters, Time: 173.3 seconds
Name: Calle Paseo de los Bosques, Instruction: Turn left onto Calle Paseo de los Bosques, Distance: 6.8 meters, Time: 4.9 seconds
Name: Calle Paseo de los Bosques, Instruction: Turn right onto Calle Paseo de los Bosques, Distance: 18.0 meters, Time: 12.9 seconds
Name: Calle Paseo de los Bosques, Instruction: Turn slight right onto Calle Paseo de los Bosques, Distance: 56.4 meters, Time: 40.6 seconds
Name: Calle Paseo Capulines, Instruction: Turn left onto Calle Paseo Capulines, Distance: 238.1 meters, Time: 171.4 seconds
Name: Avenida Paseo de los Jardines, Instruction: Turn slight right onto Avenida Paseo de los Jardines, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.5 seconds
Name: Avenida Paseo de los Jardines, Instruction: Turn right onto Avenida Paseo de los Jardines, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.8 seconds
Name: Calzada Taxqueña, EJE 9 SUR, Instruction: Turn left onto Calzada Taxqueña, EJE 9 SUR, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 97.2 meters, Time: 70.0 seconds
Name: Calle Ejido Tulyehualco, Instruction: Turn left onto Calle Ejido Tulyehualco, Distance: 64.0 meters, Time: 46.1 seconds
Name: Calle Ejido Xochimilco, Instruction: Turn right onto Calle Ejido Xochimilco, Distance: 326.0 meters, Time: 234.7 seconds
Name: -, Instruction: Turn left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: Calle Ejido Cuautepec, Instruction: Turn left onto Calle Ejido Cuautepec, Distance: 60.8 meters, Time: 43.8 seconds
Name: Calle Ejido Los Reyes, Instruction: Turn right onto Calle Ejido Los Reyes, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Arrive at Calle Ejido Los Reyes, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
