Name: Lawrence Service Road North, Instruction: Head south on Lawrence Service Road North, Distance: 19.9 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.3 seconds
Name: Caledonia Road, Instruction: Turn right onto Caledonia Road, Distance: 444.2 meters, Time: 319.8 seconds
Name: Lotherton Pathway, Instruction: Turn right onto Lotherton Pathway, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Keep left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 78.3 meters, Time: 56.4 seconds
Name: Caledonia Road, Instruction: Turn right onto Caledonia Road, Distance: 465.3 meters, Time: 335.0 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 173.5 meters, Time: 124.9 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: Caledonia Road, Instruction: Turn left onto Caledonia Road, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn left, Distance: 429.6 meters, Time: 309.3 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: Ronald Avenue, Instruction: Turn right onto Ronald Avenue, Distance: 400.4 meters, Time: 288.3 seconds
Name: Bowie Avenue, Instruction: Turn right onto Bowie Avenue, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
