Name: Newton Drive, Instruction: Head southeast on Newton Drive, Distance: 1146.3 meters, Time: 825.3 seconds
Name: Nobel Way, Instruction: Turn right onto Nobel Way, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 381.5 meters, Time: 274.7 seconds
Name: -, Instruction: Turn right, Distance: 87.7 meters, Time: 63.1 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 59.9 meters, Time: 43.1 seconds
Name: Jeffcoat Avenue, Instruction: Turn left onto Jeffcoat Avenue, Distance: 256.5 meters, Time: 184.7 seconds
Name: Hiddingh Avenue, Instruction: Turn left onto Hiddingh Avenue, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn slight right, Distance: 118.7 meters, Time: 85.5 seconds
Name: Hiddingh Road, Instruction: Continue straight onto Hiddingh Road, Distance: 85.0 meters, Time: 61.2 seconds
Name: Alphen Way, Instruction: Turn right onto Alphen Way, Distance: 145.9 meters, Time: 105.0 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
