Name: Huron Street, Instruction: Head south on Huron Street, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Keep right, Distance: 198.8 meters, Time: 143.2 seconds
Name: -, Instruction: Keep right, Distance: 105.4 meters, Time: 75.9 seconds
Name: Kendal Avenue, Instruction: Turn left onto Kendal Avenue, Distance: 288.7 meters, Time: 207.8 seconds
Name: -, Instruction: Turn right, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Keep left, Distance: 318.3 meters, Time: 229.1 seconds
Name: -, Instruction: Keep right, Distance: 299.7 meters, Time: 215.8 seconds
Name: Leah Cohen Lane, Instruction: Turn right onto Leah Cohen Lane, Distance: 4.5 meters, Time: 3.2 seconds
Name: Brunswick Avenue, Instruction: Turn left onto Brunswick Avenue, Distance: 534.4 meters, Time: 384.8 seconds
Name: Galvao Lane, Instruction: Turn right onto Galvao Lane, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
