Name: Avenida Carlos Zara, Instruction: Head east on Avenida Carlos Zara, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn right, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Keep right, Distance: 202.5 meters, Time: 145.8 seconds
Name: Avenida Ricardo Eugênio Boechat, Instruction: Turn left onto Avenida Ricardo Eugênio Boechat, Distance: 14.2 meters, Time: 10.2 seconds
Name: Avenida José Wilker, Instruction: Enter the roundabout and take the 1st exit onto Avenida José Wilker, Distance: 179.6 meters, Time: 129.3 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Keep left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Turn right, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
