Name: Centenary Square, Instruction: Head north on Centenary Square, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Continue straight, Distance: 83.9 meters, Time: 60.4 seconds
Name: -, Instruction: Turn slight left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 310.3 meters, Time: 223.4 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 267.3 meters, Time: 192.5 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn slight right, Distance: 124.0 meters, Time: 89.3 seconds
Name: -, Instruction: Turn slight left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn slight right, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Turn right, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 334.4 meters, Time: 240.7 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Keep left, Distance: 311.1 meters, Time: 224.0 seconds
Name: Factory Street, Instruction: Turn right onto Factory Street, Distance: 9.9 meters, Time: 7.1 seconds
Name: Castle Street, Instruction: Turn left onto Castle Street, Distance: 176.5 meters, Time: 127.1 seconds
Name: Dunlop Street, Instruction: Turn right onto Dunlop Street, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 232.6 meters, Time: 167.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
