Name: Edward Street, Instruction: Head west on Edward Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Chestnut Street, Instruction: Turn left onto Chestnut Street, Distance: 205.2 meters, Time: 147.7 seconds
Name: Armoury Street, Instruction: Turn right onto Armoury Street, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 164.3 meters, Time: 118.3 seconds
Name: -, Instruction: Turn left, Distance: 264.9 meters, Time: 190.8 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn left, Distance: 84.3 meters, Time: 60.7 seconds
Name: Nelson Street, Instruction: Turn right onto Nelson Street, Distance: 153.7 meters, Time: 110.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 73.0 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Turn left, Distance: 449.2 meters, Time: 323.4 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
