Name: Harris Street, Instruction: Head north on Harris Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 184.2 meters, Time: 132.6 seconds
Name: -, Instruction: Turn slight right, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Keep left, Distance: 250.0 meters, Time: 180.0 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight right, Distance: 8.0 meters, Time: 5.7 seconds
Name: Purchase Street, Instruction: Turn left onto Purchase Street, Distance: 146.4 meters, Time: 105.4 seconds
Name: Purchase Street, Instruction: Keep right onto Purchase Street, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
