Name: Lengkong Empat, Instruction: Head east on Lengkong Empat, Distance: 6.0 meters, Time: 4.3 seconds
Name: Jalan Selamat, Instruction: Turn right onto Jalan Selamat, Distance: 99.4 meters, Time: 71.6 seconds
Name: Jalan Senang, Instruction: Turn left onto Jalan Senang, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Keep left, Distance: 113.7 meters, Time: 81.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: Jalan Senang, Instruction: Turn left onto Jalan Senang, Distance: 3.6 meters, Time: 2.6 seconds
Name: Jalan Senang, Instruction: Turn right onto Jalan Senang, Distance: 15.5 meters, Time: 11.1 seconds
Name: Jalan Senang, Instruction: Turn left onto Jalan Senang, Distance: 180.3 meters, Time: 129.8 seconds
Name: -, Instruction: Turn left, Distance: 166.0 meters, Time: 119.5 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 396.9 meters, Time: 285.8 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn left, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 350.1 meters, Time: 252.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
