Name: Square Auguste Renoir, Instruction: Head northwest on Square Auguste Renoir, Distance: 0.5 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 484.5 meters, Time: 348.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 413.3 meters, Time: 297.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Rue Vercingétorix, Instruction: Turn right onto Rue Vercingétorix, Distance: 163.2 meters, Time: 117.5 seconds
Name: Place Slimane Azem, Instruction: Turn slight left onto Place Slimane Azem, Distance: 6.3 meters, Time: 4.5 seconds
Name: Place Slimane Azem, Instruction: Turn slight right onto Place Slimane Azem, Distance: 15.5 meters, Time: 11.1 seconds
Name: Rue Vercingétorix, Instruction: Turn left onto Rue Vercingétorix, Distance: 57.2 meters, Time: 41.2 seconds
Name: Place de Catalogne, Instruction: Turn left onto Place de Catalogne, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: Place de Catalogne, Instruction: Turn right onto Place de Catalogne, Distance: 61.6 meters, Time: 44.3 seconds
Name: Rue du Château, Instruction: Turn left onto Rue du Château, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep left, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Keep right, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 199.9 meters, Time: 143.9 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 36.7 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
