Name: Rue de Dantzig, Instruction: Head south on Rue de Dantzig, Distance: 221.7 meters, Time: 159.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 87.0 meters, Time: 62.6 seconds
Name: -, Instruction: Turn slight left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Keep right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 111.9 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
