Name: Independence Street, Instruction: Head south on Independence Street, Distance: 313.7 meters, Time: 225.9 seconds
Name: West 53rd Avenue, Instruction: Turn right onto West 53rd Avenue, Distance: 156.7 meters, Time: 112.8 seconds
Name: Jellison Street, Instruction: Turn left onto Jellison Street, Distance: 182.5 meters, Time: 131.4 seconds
Name: West 51st Place, Instruction: Turn right onto West 51st Place, Distance: 215.0 meters, Time: 154.8 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: Kipling Parkway, Instruction: Turn left onto Kipling Parkway, Distance: 183.4 meters, Time: 132.1 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.1 seconds
Name: West 50th Avenue, Instruction: Turn left onto West 50th Avenue, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 48.0 meters, Time: 34.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
