Name: Oakleigh Road South, A109, Instruction: Head northwest on Oakleigh Road South, A109, Distance: 68.7 meters, Time: 49.5 seconds
Name: Park View Crescent, Instruction: Turn right onto Park View Crescent, Distance: 223.2 meters, Time: 160.7 seconds
Name: Spencer Road, Instruction: Turn right onto Spencer Road, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: Marne Avenue, Instruction: Turn right onto Marne Avenue, Distance: 41.6 meters, Time: 29.9 seconds
Name: Brunswick Park Road, Instruction: Turn left onto Brunswick Park Road, Distance: 57.4 meters, Time: 41.3 seconds
Name: Marshall Close, Instruction: Turn right onto Marshall Close, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 238.8 meters, Time: 171.9 seconds
Name: -, Instruction: Turn left, Distance: 270.5 meters, Time: 194.8 seconds
Name: -, Instruction: Keep left, Distance: 109.8 meters, Time: 79.0 seconds
Name: -, Instruction: Turn slight left, Distance: 42.3 meters, Time: 30.4 seconds
Name: Brunswick Park Road, Instruction: Turn right onto Brunswick Park Road, Distance: 249.3 meters, Time: 179.5 seconds
Name: Brunswick Park Gardens, Instruction: Turn left onto Brunswick Park Gardens, Distance: 200.0 meters, Time: 144.0 seconds
Name: Brunswick Park Gardens, Instruction: Turn right onto Brunswick Park Gardens, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn slight left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: Pine Road, Instruction: Turn left onto Pine Road, Distance: 100.1 meters, Time: 72.0 seconds
Name: Linden Road, Instruction: Turn left onto Linden Road, Distance: 48.5 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at Linden Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
