Name: Yarrow Road, Instruction: Head north on Yarrow Road, Distance: 360.3 meters, Time: 259.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 105.9 meters, Time: 76.3 seconds
Name: -, Instruction: Keep right, Distance: 0.3 meters, Time: 0.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 91.4 meters, Time: 65.8 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: Municipal Drive, Instruction: Turn right onto Municipal Drive, Distance: 210.4 meters, Time: 151.5 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
