Name: Callisto Drive, Instruction: Head southwest on Callisto Drive, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 257.7 meters, Time: 185.6 seconds
Name: -, Instruction: Continue straight, Distance: 174.6 meters, Time: 125.7 seconds
Name: -, Instruction: Turn right, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn slight left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 1458.6 meters, Time: 1050.2 seconds
Name: -, Instruction: Turn left, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
