Name: Rue de Thiberville, Instruction: Head north on Rue de Thiberville, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Keep left, Distance: 135.7 meters, Time: 97.7 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn slight right, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Keep right, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Rue des Peupliers, Instruction: Turn left onto Rue des Peupliers, Distance: 285.9 meters, Time: 205.8 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 256.7 meters, Time: 184.8 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: Passage Boiton, Instruction: Turn right onto Passage Boiton, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Arrive at Passage Boiton, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
