Name: McNair Road, Instruction: Head southwest on McNair Road, Distance: 216.3 meters, Time: 155.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 250.7 meters, Time: 180.5 seconds
Name: -, Instruction: Turn right, Distance: 147.3 meters, Time: 106.1 seconds
Name: Sing Avenue, Instruction: Turn right onto Sing Avenue, Distance: 27.8 meters, Time: 20.0 seconds
Name: Sing Avenue, Instruction: Turn left onto Sing Avenue, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 409.3 meters, Time: 294.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
