Name: Corneliusstraße, Instruction: Head southeast on Corneliusstraße, Distance: 288.8 meters, Time: 208.0 seconds
Name: Eduard-Schmid-Straße, Instruction: Turn sharp right onto Eduard-Schmid-Straße, Distance: 96.3 meters, Time: 69.3 seconds
Name: Mariahilfstraße, Instruction: Turn sharp left onto Mariahilfstraße, Distance: 231.3 meters, Time: 166.6 seconds
Name: -, Instruction: Turn right, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 19.0 meters, Time: 13.7 seconds
Name: Falkenstraße, Instruction: Turn right onto Falkenstraße, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 576.0 meters, Time: 414.7 seconds
Name: Edelweißstraße, Instruction: Turn right onto Edelweißstraße, Distance: 148.0 meters, Time: 106.6 seconds
Name: Edelweißstraße, Instruction: Keep left onto Edelweißstraße, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight left, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 133.0 meters, Time: 95.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.6 seconds
Name: Alpenstraße, Instruction: Turn right onto Alpenstraße, Distance: 5.8 meters, Time: 4.2 seconds
Name: Zugspitzstraße, Instruction: Turn right onto Zugspitzstraße, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Keep left, Distance: 237.1 meters, Time: 170.7 seconds
Name: Deisenhofener Straße, Instruction: Turn left onto Deisenhofener Straße, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
