Name: McGrath Place, Instruction: Head southwest on McGrath Place, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn left, Distance: 394.6 meters, Time: 284.1 seconds
Name: -, Instruction: Turn right, Distance: 123.5 meters, Time: 88.9 seconds
Name: -, Instruction: Turn slight right, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn right, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn slight right, Distance: 167.0 meters, Time: 120.2 seconds
Name: -, Instruction: Turn right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Keep right, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Turn right, Distance: 147.0 meters, Time: 105.9 seconds
Name: -, Instruction: Turn left, Distance: 365.7 meters, Time: 263.3 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
