Name: Coniston Place, Instruction: Head east on Coniston Place, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 85.2 meters, Time: 61.4 seconds
Name: Lansur Road, Instruction: Turn slight left onto Lansur Road, Distance: 431.3 meters, Time: 310.5 seconds
Name: Athwood Road, Instruction: Turn right onto Athwood Road, Distance: 1242.2 meters, Time: 894.4 seconds
Name: -, Instruction: Turn left, Distance: 107.9 meters, Time: 77.7 seconds
Name: -, Instruction: Turn right, Distance: 250.1 meters, Time: 180.1 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 65.2 meters, Time: 47.0 seconds
Name: -, Instruction: Turn right, Distance: 133.4 meters, Time: 96.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
