Name: Rue de Montreuil, Instruction: Head west on Rue de Montreuil, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 113.0 meters, Time: 81.4 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 143.8 meters, Time: 103.5 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 289.2 meters, Time: 208.2 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn slight right, Distance: 135.4 meters, Time: 97.5 seconds
Name: -, Instruction: Turn slight right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 221.8 meters, Time: 159.7 seconds
Name: -, Instruction: Turn slight left, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 120.5 meters, Time: 86.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
