Name: Atlee Street, Instruction: Head north on Atlee Street, Distance: 276.7 meters, Time: 199.2 seconds
Name: Leffler Street, Instruction: Turn right onto Leffler Street, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight right, Distance: 45.5 meters, Time: 32.8 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 312.0 meters, Time: 224.6 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn slight right, Distance: 381.7 meters, Time: 274.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
