Name: President Avenue, Instruction: Head west on President Avenue, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Continue straight, Distance: 304.4 meters, Time: 219.2 seconds
Name: -, Instruction: Turn left, Distance: 882.0 meters, Time: 635.0 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: McCubbens Lane, Instruction: Turn left onto McCubbens Lane, Distance: 100.1 meters, Time: 72.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
