Name: Bridge Street, Instruction: Head southeast on Bridge Street, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 224.7 meters, Time: 161.8 seconds
Name: -, Instruction: Turn left, Distance: 25.2 meters, Time: 18.2 seconds
Name: Parramatta Light Rail Trail, Instruction: Turn left onto Parramatta Light Rail Trail, Distance: 7.8 meters, Time: 5.6 seconds
Name: Parramatta Light Rail Trail, Instruction: Turn left onto Parramatta Light Rail Trail, Distance: 11.2 meters, Time: 8.1 seconds
Name: Parramatta Light Rail Trail, Instruction: Turn left onto Parramatta Light Rail Trail, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: Brodie Street, Instruction: Turn right onto Brodie Street, Distance: 272.3 meters, Time: 196.1 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 98.3 meters, Time: 70.7 seconds
Name: Parramatta Valley Cycleway, Instruction: Turn left onto Parramatta Valley Cycleway, Distance: 339.0 meters, Time: 244.1 seconds
Name: -, Instruction: Turn right, Distance: 905.6 meters, Time: 652.1 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
