Name: Rue du Maroc, Instruction: Head northwest on Rue du Maroc, Distance: 101.9 meters, Time: 73.4 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 301.4 meters, Time: 217.0 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 381.8 meters, Time: 274.9 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 198.8 meters, Time: 143.1 seconds
Name: Rue Henri Verneuil, Instruction: Turn left onto Rue Henri Verneuil, Distance: 86.5 meters, Time: 62.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 89.7 meters, Time: 64.6 seconds
Name: Parvis Rosa Parks, Instruction: Turn slight right onto Parvis Rosa Parks, Distance: 53.0 meters, Time: 38.1 seconds
Name: Parvis Rosa Parks, Instruction: Keep left onto Parvis Rosa Parks, Distance: 28.4 meters, Time: 20.5 seconds
Name: Passage Susan Sontag, Instruction: Turn right onto Passage Susan Sontag, Distance: 11.8 meters, Time: 8.5 seconds
Name: Passage Susan Sontag, Instruction: Keep left onto Passage Susan Sontag, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn right, Distance: 113.5 meters, Time: 81.7 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: Rue Lounès Matoub, Instruction: Turn left onto Rue Lounès Matoub, Distance: 123.6 meters, Time: 89.0 seconds
Name: Passerelle Claude Bernard, Instruction: Continue straight onto Passerelle Claude Bernard, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
