Name: Kawa Drive, Instruction: Head northwest on Kawa Drive, Distance: 293.0 meters, Time: 210.9 seconds
Name: -, Instruction: Keep left, Distance: 47.0 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 190.8 meters, Time: 137.4 seconds
Name: -, Instruction: Turn right, Distance: 233.9 meters, Time: 168.4 seconds
Name: -, Instruction: Turn left, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Keep right, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Turn right, Distance: 290.8 meters, Time: 209.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 80.5 meters, Time: 58.0 seconds
Name: -, Instruction: Turn right, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
